year,ncessch,ncessch_num,leaid,fips,grade,race,sex,enrollment
2018,130255003991,130255003991,1302550,13,4,3,99,13.0
2012,40880000839,40880000839,408800,4,5,3,2,-2.0
2000,363183004238,363183004238,3631830,36,5,5,2,0.0
2017,63315012406,63315012406,633150,6,99,6,1,
2008,551578000261,551578000261,5515780,55,3,2,99,5.0
2011,482442002715,482442002715,4824420,48,2,6,1,0.0
2013,470120000371,470120000371,4701200,47,11,2,2,12.0
2000,280321000633,280321000633,2803210,28,99,99,2,128.0
2013,540036001383,540036001383,5400360,54,-1,4,99,0.0
2001,410192001213,410192001213,4101920,41,2,2,1,-1.0
2001,180345000464,180345000464,1803450,18,6,1,1,72.0
2018,120150008496,120150008496,1201500,12,99,1,2,13.0
2009,274419001842,274419001842,2744190,27,4,2,99,0.0
2014,350012301066,350012301066,3500123,35,3,5,1,0.0
2011,90228001480,90228001480,902280,9,99,4,1,13.0
2012,510384001703,510384001703,5103840,51,0,99,1,32.0
2012,170609000291,170609000291,1706090,17,-1,6,1,0.0
2015,484668008549,484668008549,4846680,48,4,5,2,0.0
2003,280378000723,280378000723,2803780,28,99,99,1,288.0
2006,482172007974,482172007974,4821720,48,99,99,1,152.0
2014,450117000035,450117000035,4501170,45,3,7,99,14.0
2003,341305003554,341305003554,3413050,34,9,5,2,0.0
1998,62007005811,62007005811,620070,6,8,2,99,0.0
2002,590000400016,590000400016,5900004,59,10,4,2,0.0
2004,450333000883,450333000883,4503330,45,2,99,99,77.0
2011,40724000623,40724000623,407240,4,-1,6,2,0.0
2017,483209010974,483209010974,4832090,48,8,4,1,5.0
2018,360009501347,360009501347,3600095,36,12,7,2,0.0
2014,240006000130,240006000130,2400060,24,1,4,2,1.0
2012,63846006456,63846006456,638460,6,99,4,99,60.0
2010,190735000374,190735000374,1907350,19,11,99,99,4.0
2009,310016601796,310016601796,3100166,31,8,2,2,0.0
2013,130174004035,130174004035,1301740,13,11,5,1,0.0
1999,362058002245,362058002245,3620580,36,0,4,1,0.0
2012,510267001127,510267001127,5102670,51,-1,7,1,1.0
1998,210078000159,210078000159,2100780,21,2,2,99,0.0
2004,160267000448,160267000448,1602670,16,99,99,2,179.0
2016,302781000777,302781000777,3027810,30,99,1,1,107.0
2000,64347010154,64347010154,643470,6,8,1,2,1.0
2008,270819002294,270819002294,2708190,27,3,6,99,0.0
2016,370078001820,370078001820,3700780,37,6,99,2,26.0
2012,480747009111,480747009111,4807470,48,11,5,2,0.0
2004,482793003132,482793003132,4827930,48,8,3,1,0.0
2010,360636000418,360636000418,3606360,36,11,1,1,6.0
2017,69105206046,69105206046,691052,6,2,3,99,0.0
2009,130366001368,130366001368,1303660,13,99,99,2,275.0
2011,330189000028,330189000028,3301890,33,1,99,1,13.0
2002,272295002760,272295002760,2722950,27,1,1,99,0.0
2008,63432011141,63432011141,634320,6,10,2,1,13.0
2002,482364002561,482364002561,4823640,48,99,4,2,0.0
2011,720003000405,720003000405,7200030,72,3,3,2,13.0
2017,261515005192,261515005192,2615150,26,-1,2,1,
2010,120105001090,120105001090,1201050,12,99,99,1,263.0
2003,720003001807,720003001807,7200030,72,0,3,2,15.0
2017,180120002185,180120002185,1801200,18,0,2,1,1.0
2006,720003001048,720003001048,7200030,72,1,3,2,2.0
2005,422514001327,422514001327,4225140,42,11,99,1,29.0
2004,390451702109,390451702109,3904517,39,2,1,99,58.0
2012,190306000004,190306000004,1903060,19,11,99,2,17.0
2012,483873004368,483873004368,4838730,48,9,2,1,9.0
2014,550582000624,550582000624,5505820,55,99,2,99,104.0
2010,130123000811,130123000811,1301230,13,0,5,99,1.0
2008,40438002782,40438002782,404380,4,1,99,1,41.0
2018,470159000624,470159000624,4701590,47,99,3,2,10.0
2011,360007605617,360007605617,3600076,36,4,1,1,1.0
2016,480981005847,480981005847,4809810,48,4,7,1,1.0
2015,100005300359,100005300359,1000053,10,0,99,99,124.0
2008,201242000070,201242000070,2012420,20,2,5,1,0.0
2006,50915000650,50915000650,509150,5,9,3,2,0.0
2006,465430000491,465430000491,4654300,46,2,99,2,16.0
2004,50789000949,50789000949,507890,5,9,3,1,0.0
2014,130102003772,130102003772,1301020,13,99,3,99,5.0
2015,482391008624,482391008624,4823910,48,-1,99,1,36.0
2015,481428012359,481428012359,4814280,48,7,4,2,1.0
2003,250279000256,250279000256,2502790,25,3,3,2,4.0
2003,61632502074,61632502074,616325,6,9,5,99,1.0
2014,470447001780,470447001780,4704470,47,99,2,2,0.0
2010,317527000846,317527000846,3175270,31,5,5,99,0.0
2001,530015002753,530015002753,5300150,53,8,2,99,0.0
2004,210258000554,210258000554,2102580,21,99,1,1,149.0
2016,10288001802,10288001802,102880,1,7,3,99,0.0
2011,482574002905,482574002905,4825740,48,8,2,2,15.0
2004,320006000439,320006000439,3200060,32,0,2,2,-1.0
2010,40168001054,40168001054,401680,4,5,99,99,-2.0
2017,40061503371,40061503371,400615,4,11,1,1,0.0
1991,180477000872,180477000872,1804770,18,1,99,99,71.0
2004,550528000568,550528000568,5505280,55,9,1,1,20.0
2014,390481703140,390481703140,3904817,39,9,1,2,128.0
2003,550960001225,550960001225,5509600,55,4,99,1,21.0
2009,220171001332,220171001332,2201710,22,99,6,1,-2.0
2010,191566000938,191566000938,1915660,19,1,1,99,17.0
2002,470123000381,470123000381,4701230,47,4,99,2,0.0
2009,340000406014,340000406014,3400004,34,15,3,1,0.0
2014,181035001689,181035001689,1810350,18,3,7,1,0.0
2012,120039007387,120039007387,1200390,12,99,3,1,45.0
2016,90279000545,90279000545,902790,9,5,2,2,28.0
2016,62805013676,62805013676,628050,6,3,1,2,
2011,180795001364,180795001364,1807950,18,0,5,99,0.0
2014,263531007146,263531007146,2635310,26,1,2,1,3.0
2015,61203001332,61203001332,612030,6,8,3,2,19.0
2016,551626002107,551626002107,5516260,55,4,3,2,7.0
2017,381293000733,381293000733,3812930,38,99,7,1,0.0
2008,403024001643,403024001643,4030240,40,6,5,2,8.0
2016,484653009651,484653009651,4846530,48,8,3,2,32.0
1991,61551001973,61551001973,615510,6,99,4,99,48.0
2018,370472001894,370472001894,3704720,37,-1,6,1,
2018,370462001805,370462001805,3704620,37,99,2,1,22.0
2018,120012000074,120012000074,1200120,12,-1,1,99,10.0
2018,320006000345,320006000345,3200060,32,3,2,99,13.0
2001,231167000510,231167000510,2311670,23,11,3,1,1.0
2016,120018008373,120018008373,1200180,12,12,99,1,0.0
2000,120003000005,120003000005,1200030,12,99,99,99,455.0
1991,540078000616,540078000616,5400780,54,99,3,99,0.0
2008,317284001146,317284001146,3172840,31,1,5,1,0.0
2007,350006000018,350006000018,3500060,35,99,99,2,118.0
2016,370114000468,370114000468,3701140,37,5,1,1,33.0
2010,310498000684,310498000684,3104980,31,8,99,2,0.0
2016,170993004722,170993004722,1709930,17,3,5,99,2.0
